timestamp,library_name,library_url,type_of_elimintation,source
5/22/2019 18:43:39,Howard Marks,www.midland.edu/library,No Fines,Yes
5/22/2019 18:47:41,Denver Public Library,denverlibrary.org,No Fines,https://www.denverlibrary.org/fine-free
5/22/2019 18:51:45,Skokie Public Library,Www.skokielibrary.imfo,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
5/22/2019 18:58:59,Dallas Public Library ,dallaslibrary.org ,No Fines,https://www.keranews.org/post/dallas-public-library-now-fine-free
5/22/2019 19:17:06,Edgemont Public Library,www.edgemontlibrary.org,No Fines,No.
5/22/2019 19:18:35,Garden City Public Library ,www gardencitylib.org,No Fines,On our website under the About tab.
5/22/2019 19:36:44,La Conner Regional Library,www.lclib.lib.wa.us,No Fines,
5/22/2019 20:01:16,Daniel Boone Regional Library System,www.dbrl.org,No Fines,http://www.dbrl.org/using-the-library/check-outs-renewals-holds/what-happens-when-items-are-overdue
5/22/2019 20:05:00,Kent district library ,KDL.org,No Fines,https://www.kdl.org/blog/kent-district-library-going-fine-free-june-1
5/22/2019 20:10:45,Basehor Community Library,www.basehorlibrary.org,No Fines,
5/22/2019 20:10:51,Schuylerville Public Library ,www.schuylervillelibrary.sals.edu,No Fines,https://www.saratogian.com/news/schuylerville-library-eliminates-fines-for-overdue-books/article_82a83a6d-4efa-5820-94a2-57cf73c311b7.html
5/22/2019 20:11:37,Boise Public Library,boisepubliclibrary.org,In the Process of Removing Fines,https://www.idahostatesman.com/news/local/community/boise/article228986714.html
5/22/2019 20:12:07,Anonymous,tulsalibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
5/22/2019 20:12:56,Nampa Public Library,nampalibrary.org,In the Process of Removing Fines,
5/22/2019 20:13:43,Caldwell Public Library,caldwellpubliclibrary.org,No Fines,
5/22/2019 20:14:11,Garden City Public Library,notaquietlibrary.org,No Fines,
5/22/2019 20:14:56,Eagle Public Library,eaglepubliclibrary.org,In the Process of Removing Fines,"No, but starts Oct. 1st"
5/22/2019 20:23:32,Davenport Public Library,https://www.davenportlibrary.com/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.rcreader.com/news-releases/juvenile-materials-go-fine-free-library
5/22/2019 20:26:46,Irvin L Young Memorial Library,WhitewaterLibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
5/22/2019 20:27:06,Patchogue-Medford Library,Pmlib.org,No Fines,
5/22/2019 20:33:41,Kent District Library,KDL.org,No Fines,https://www.kdl.org/blog/kent-district-library-going-fine-free-june-1
5/22/2019 20:45:30,Alameda County Library,Aclibrary.org,In the Process of Removing Fines,Not yet but Alameda county board of supervisors approved on 5/7/19
5/22/2019 21:23:15,Spooner Memorial Library,www.spoonerlibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
5/22/2019 21:29:40,Hauppauge Public Library,https://hauppaugelibrary.org,No Fines,http://hauppaugelibrary.org/wp-content/uploads/2018/10/Bylaws.and_.Policy.Manualoctober2018.pdf
5/22/2019 21:43:12,Dallas Public Library ,https://dallaslibrary2.org/,No Fines,https://twitter.com/dallaslibrary/status/1131218675040706560?s=21
5/22/2019 21:50:02,North Kansas City Public Library,nkcpl.org,No Fines,
5/22/2019 22:20:06,Ely Public Library,www.ely.lib.ia.us,No Fines,
5/22/2019 22:53:21,Tomkins Cove Public Library,tomkinscovelibrary.org,No Fines,no
5/22/2019 22:58:26,Las Vegas Clark County Library District,https://lvccld.org/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://lvccld.org/wp-content/uploads/sites/54/2017/10/circulation_policy.pdf
5/22/2019 23:08:10,Anderson Public Library,www.andersonlibrary.net,No Fines,https://www.heraldbulletin.com/news/local_news/anderson-library-takes-fines-off-the-books/article_0a4c73ef-0999-5bd3-8d91-15120476e519.html
5/23/2019 0:01:26,Kitsap Regional Library ,Www.krl.org,No Fines,https://www.krl.org/wave-goodbye-overdue-charges
5/23/2019 0:15:36,Josephine Community Library,Josephinelibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
5/23/2019 0:15:51,LIncoln City Libraries,https://lincolnlibraries.org/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://lincolnlibraries.org/lincoln-city-libraries-eliminates-late-fees-on-youth-materials/
5/23/2019 0:31:31,Santa Cruz Public,www.santacruzpl.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
5/23/2019 0:40:06,Sechelt public Library,Sechelt.bc.libraries.coop,No Fines,
5/23/2019 0:47:28,Pines and Plains Libraries,pplibraries.org,No Fines,pplibraries.org/about
5/23/2019 1:02:26,Flower Mound Public Library,Fmlibrary.net,No Fines,
5/23/2019 1:17:07,Manlius library,Manliuslibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.eaglenewsonline.com/news/publications/eagle-bulletin/2018/12/28/manlius-library-drops-daily-late-fines-for-kids-teens/
5/23/2019 4:33:19,Alachua County Library District,www.aclib.us,No Fines,"No, we have not charged late fees for many years"
5/23/2019 5:11:27,Hillsborough County Library Cooperative ,"Www,HCPLC.org",No Fines,
5/23/2019 5:14:19,Temple Terrace Public Library,Www.templeterrace.com/library,No Fines,
5/23/2019 6:46:09,Suffolk Public Library,www.SuffolkPublicLibrary.com,No Fines,https://www.suffolkpubliclibrary.com/DocumentCenter/View/36/Circulation-Policy-PDF
5/23/2019 8:53:13,Corvallis-Benton County Public Library,www.cbcpl.net,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
5/23/2019 8:55:04,Lora Robins Library at Lewis Ginter Botanical Garden,https://www.lewisginter.org/learn/library/,No Fines,
5/23/2019 9:01:43,Utica public library ,https://www.uticapubliclibrary.org/,No Fines,https://www.uticapubliclibrary.org/using-the-library/loans-and-late-fees/
5/23/2019 9:29:45,John G. McCullough Free Library,mcculloughlibrary.org,No Fines,
5/23/2019 9:50:57,Redford Township District Library,http://www.redfordlibrary.org,No Fines,https://www.hometownlife.com/story/news/local/redford/2019/04/01/redford-library-eliminate-fines-materials-returned-late/3331199002/
5/23/2019 9:53:21,Garden City Public Library,http://www.gardencitylib.org,No Fines,http://www.gardencitylib.org/index.php/free-to-read-garden-city-public-library-goes-fine-free/
5/23/2019 9:58:16,Taylor Memorial Library ,Www.wrlsweb.org/taylor ,No Fines,No - have been fine fee since we opened
5/23/2019 10:34:40,Jefferson-Madison Regional Library,jmrl.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",JMRL went fine-free for juvenile cards in 2016.  https://www.dailyprogress.com/archives/library-ends-late-fees-for-youths-with-own-cards/article_80f45c52-8e0c-5283-bbe7-66257e3f93dd.html
5/23/2019 10:56:54,Rock Valley College Library,rockvalleycollege.edu/library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",No
5/23/2019 12:53:29,Iowa City Public Library,www.icpl.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://blog.icpl.org/2019/05/02/children-and-young-adult-materials-fine-free-begining-61/
5/23/2019 13:13:56,Grand Forks Air Force Base Library,319fss.com/library,No Fines,
5/23/2019 13:29:30,Crete (Nebraska) Public Library,www.crete.ne.gov/library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
5/23/2019 15:53:15,Salt Lake Community College Libraries,https://libweb.slcc.edu/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",Not yet
5/23/2019 18:11:08,Clifton Springs Library,www.cliftonspringslibrary.com,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://cliftonspringslibrary.com/everyone-reads-free/
5/23/2019 21:09:55,Vigo County Public Library,www.vigo.lib.in.us,No Fines,Fine free since 1959
5/23/2019 22:12:58,Beauregard Parish Library,http://library.beau.org,In the Process of Removing Fines,
5/24/2019 10:04:07,Boylston Public Library,boylstonlibrary.org,No Fines,
5/24/2019 14:58:39,"E.D. Locke Public Library-McFarland, WI ",www.mcfarlandlibrary.org ,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",no
5/30/2019 13:09:33,Miami-Dade Public Library System,mdpls.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://content.govdelivery.com/accounts/FLMDADE/bulletins/2132a33
5/30/2019 18:18:35,Rolling Hills Library,rhcl.org,No Fines,Have been fine free since 1961 when we were established.
6/1/2019 9:49:34,Spooner Memorial Library,spoonerlibrary.org,No Fines,http://www.spoonerlibrary.org/uploads/1/1/2/1/112182223/newsletter_9.pdf
6/1/2019 10:58:00,Amery Area Public Library,https://www.amerylibrary.org/,No Fines,
6/1/2019 11:27:46,Coeur d’Alene Public Library,CdaLibrary.org,No Fines,https://www.cdapress.com/editorial/20190529/libraries_forgiveness_isa_fine_solution
6/1/2019 16:45:39,Castleton Public Library,ww.castletonpubliclibrary.org,No Fines,No. 
6/2/2019 2:28:33,Rossford Public Library ,http://www.rossfordlibrary.org/,No Fines,https://www.sent-trib.com/community/rossford-library-now-fine-free/article_5bd716d8-1826-11e9-ba31-071f280b92f0.html
6/4/2019 12:59:49,Maricopa County Library System,mcldaz.org,No Fines,mcldaz.org/nofines
6/14/2019 17:09:23,Mason County District Library,http://www.masoncounty.lib.mi.us/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
6/14/2019 17:10:19,Grand Rapids Public Library,www.grpl.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.grpl.org/kids-go-fine-free/
6/14/2019 20:16:52,Tulare County Library (begins 7/1/19),https://www.tularecountylibrary.org/,No Fines,http://www.thesungazette.com/article/news/2019/05/08/county-library-closes-the-book-on-late-fees/
6/20/2019 11:45:03,Carnegie-Stout Public Library,www.dubuque.lib.ia.us,No Fines,https://www.dubuque.lib.ia.us/525/6152/No-More-Fines
6/20/2019 15:47:29,Grand County Public Library,www.moablibrary.org,No Fines,
6/21/2019 11:47:13,Aurora Public Library,aurorapubliclibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://www.aurorapubliclibrary.org/wp-content/uploads/Circulation-Policy-2.pdf
6/21/2019 14:53:43,Tiffin-Seneca Public Library,www.tiffinsenecalibrary.org,In the Process of Removing Fines,
6/24/2019 20:56:27,Walker Memorial Library,http://walkerlibrary.org,No Fines,no
7/1/2019 13:36:44,Kent District Library,www.kdl.org,No Fines,
7/1/2019 14:11:17,Santa Clara City Library,sclibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.svvoice.com/library-director-hilary-keith-recognized-as-woman-of-the-year-by-state-senator-bob-wieckowski/
7/1/2019 14:54:39,Sonoma County Library,www.sonomalibrary.org,No Fines,https://sonomalibrary.org/sites/default/files/attachments/Policies_and_Procedures/2019_07_01_Resolution_to_Forgive_Overdue_Fines.pdf
7/1/2019 17:09:33,Stevenson Community Library,http://www.fvrl.org/loc/st,No Fines,https://www.fvrl.org/library-privileges-policy
7/1/2019 17:10:55,North Bonneville Community Library,https://www.fvrl.org/loc/nb,No Fines,https://www.fvrl.org/library-privileges-policy
7/1/2019 17:27:53,Fort Vancouver Regional Libraries,www.fvrl.org,No Fines,http://www.fvrl.org/library-privileges-policy
7/8/2019 14:18:02,Burlingame Public Library,https://www.burlingame.org/library/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://www.plsinfo.org/Fines-Fees
7/8/2019 14:18:48,San Mateo Public Library,https://www.cityofsanmateo.org/507/Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://www.plsinfo.org/Fines-Fees
7/10/2019 18:21:41,Loudoun County Public Library,library.loudoun.gov,In the Process of Removing Fines,https://library.loudoun.gov/SERVICES/Borrowing
7/11/2019 14:05:57,Oxford County Library,https://www.ocl.net/,No Fines,https://www.ocl.net/Old-Home/Library-Board October 2018 Agenda
7/11/2019 17:35:35,Rio Rancho Public Library,Riorancholibraries.org,No Fines,
7/14/2019 21:37:03,Los Gatos Library,https://www.losgatosca.gov/42/Los-Gatos-Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/15/2019 12:29:58,Hickory Public Library,www.hickorync.gov/content/library,No Fines,
7/16/2019 13:54:49,Forbes Library,forbeslibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://forbeslibrary.org/blog/2019/06/27/forbes-library-eliminating-late-fees-for-children-young-adults/                https://www.gazettenet.com/Forbes-library-fees-26632095
7/19/2019 13:44:01,Poplar Bluff Municipal Library,poplarbluff.org,No Fines,
7/19/2019 13:40:58,Lewis & Clark Library - East Helena Branch,www.lclibrary.org,No Fines,
7/19/2019 13:41:30,Lewis & Clark Library - Lincoln Branch,www.lclibrary.org,No Fines,
7/19/2019 13:41:46,Lewis & Clark Library - Augusta Branch,www.lclibrary.org,No Fines,
7/19/2019 13:47:18,First Regional Library,firstregional.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",no
7/19/2019 13:49:07,Delaware County District Library,https://www.delawarelibrary.org/,No Fines,We went fine free for books in 1986. This article appeared when we dropped the fines on remaining items three years ago: https://www.dispatch.com/content/stories/local/2016/07/31/no-fines-are-just-fine-with-some-libraries.html
7/19/2019 13:50:32,Jasper-Dubois County Public Library ,www.jdcpl.us,No Fines,https://duboiscountyherald.com/b/library-board-joins-trend-eliminating-fines
7/19/2019 13:57:59,Manlius Library,www.manliuslibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://manliuslibrary.org/wp-content/uploads/2019/06/newsletter-2019-06.pdf  https://www.eaglenewsonline.com/news/publications/eagle-bulletin/2018/12/28/manlius-library-drops-daily-late-fines-for-kids-teens/
7/19/2019 14:11:20,Swansea Free Public Library,https://www.swansealibrary.org/,No Fines,no
7/19/2019 14:05:07,La Porte County Public Library ,laportelibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/19/2019 14:07:33,Jackson County Library,jacksoncolibrary.net,No Fines,
7/19/2019 14:07:53,Ignacio Community Library,www.ignaciolibrary.org,No Fines,"Policy states. ""ICL does not charge fines on overdue items."""
7/19/2019 14:10:14,Delaware County District Library (Ohio),http://www.delawarelibrary.org/,No Fines,"https://www.dispatch.com/content/stories/local/2016/07/31/no-fines-are-just-fine-with-some-libraries.html  ""The Delaware County District Library has taken a different approach: eliminating the fines altogether.  The three-branch system has not collected fines for overdue books for more than 20 years. In late May 2016, its board ended its $2-a-day fines for DVDs, audio books and video games."""
7/19/2019 14:12:38,Lynchburg Public Library,lynchburgpubliclibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.newsadvance.com/news/local/lynchburg-public-library-eliminates-fines-for-youth-materials/article_843ca3c9-7fa4-5f4b-ad11-eff9a527b8c4.html?utm_medium=social&utm_source=email&utm_campaign=user-share
7/19/2019 14:16:47,Augusta County Library,www.augustacountylibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/19/2019 14:18:15,University of WIsconsin Law Library,http://library.law.wisc.edu/,No Fines,"No,  we did it so long ago, it wasn't a thing. 15 years at least! Thanks for pinning us."
7/19/2019 14:23:26,Pinetop-Lakeside Library,www.pinetoplakesidelibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.facebook.com/pinetoplakesidelibrary/posts/2470155769682404?__xts__[0]=68.ARB4MObjtbd0RJuoEo3e8FXWVnc5FtgBuHdmFbtTjyARCpeS63UGIbW0hvGU6KGROBL03DNoAVkQWDQdIzkller0ggro-YPYCGO5yGPMNbqBH6KWprMRwthHtDmOAmx-7GwT9W4GyrCNoGOgiPMsUKAX-1h89v7-8lxDtiec_tPUl3HuC1lgST-0FVh6G1Atcvs9ErSNulYR1fhOKmXdCcbsyAO5EYhXnP8ILMxmTLd1n8Tx8cDMmRPboJckPq07NgGKyzZwNUReq1CkIG3ueTNfm-4dLuxiB7r8BGFgJvr9NdNry4Py52HtMW_mgNcBCEKz1bhnyASMdHZaFgxtzw&__tn__=-R
7/19/2019 14:26:20,Rangeley Public Library,rangeleylibrary.org,No Fines,No
7/19/2019 14:26:53,Show Low Public Library,https://www.showlowaz.gov/library,No Fines,https://www.wmicentral.com/community_beat/briefs/show-low-library-is-fine-free-beginning-dec/article_a5a62fa8-777d-5369-ba09-bbf7e0447ce4.html
7/19/2019 15:01:55,Palo Alto City Library,library.cityofpaloalto.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.cityofpaloalto.org/civicax/filebank/documents/8684
7/19/2019 14:36:35,Howard Miller Public Library,www.hmpl.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.hollandsentinel.com/news/20190125/zeeland-nixes-overdue-fees-for-childrens-library-books
7/19/2019 14:52:12,Altadena Library District,http://www.altadenalibrary.org/,No Fines,
7/19/2019 14:55:54,Chatham County Public Libraries,www.chathamlibraries.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.chatham.k12.nc.us/Page/22302
7/19/2019 15:31:13,Siouxland Libraries,siouxlandlib.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/19/2019 15:07:29,Pittsburg Public Library,pplonline.org,No Fines,yes
7/19/2019 15:07:37,Sheboygan Falls Memorial Library,https://www.sheboyganfallslibrary.org/,No Fines,
7/19/2019 16:27:08,Harborfields Public Library,harborfieldslibrary.org,No Fines,http://www.harborfieldslibrary.org/adobe/july19news.pdf
7/19/2019 16:10:22,Mississippi Valley Library District,www.mvld.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.facebook.com/CollinsvilleMemorialLibraryCenter/photos/a.10150816493930640/10161831318275640/?type=3&theater
7/19/2019 16:34:27,Burton Public Library,https://www.burtonlibrary.org/,No Fines,https://www.burtonlibrary.org/content/fine-free
7/19/2019 16:36:41,Franklin Public Library,www.franklin.lib.mi.us,No Fines,No
7/19/2019 22:08:28,Whiting Public Library,www.whiting.lib.in.us,No Fines,"No, not yet"
7/19/2019 16:48:41,Rensselaerville Library,https://www.rensselaervillelibrary.org/,No Fines,https://www.rensselaervillelibrary.org/uploads/2/6/4/8/26489851/circulation_policy.pdf
7/20/2019 10:06:38,Champlain Memorial Library,cefls.org,No Fines,no  library has been fine free for over 15 years
7/20/2019 12:05:19,Spooner Memorial Library,spoonerlibrary.org,No Fines,https://drydenwire.com/news/watch-dianes-kitchen-s1-e6-angie-bodzislaw/
7/20/2019 12:13:45,Cuba Circulating Library,cubalibrary.org,No Fines,"Our newspaper did run an article, but they don't have an online version available."
7/20/2019 12:18:07,Newark Public Library,www.npl.org,No Fines,
7/20/2019 12:41:38,Plattsburgh Public Library,www.plattslib.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/20/2019 20:12:09,San Diego Public Library,https://www.sandiego.gov/public-library,No Fines,
7/21/2019 9:06:44,Addison Public Library,www.addisonlibrary.org,No Fines,https://www.dailyherald.com/news/20180216/fremont-library-votes-to--eliminate-late-fees-on-most-materials
7/21/2019 9:53:32,Fort walton beach public library,https://www.fwb.org/parksrec/page/library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.fwb.org/parksrec/page/city-fort-walton-beach-library-no-longer-charging-late-fees
7/21/2019 10:14:54,Rogers Free Library,https://rogersfreelibrary.org/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/21/2019 15:00:43,Darlington County Library System,www.darlington-lib.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://www.newsandpress.net/darlington-county-library-ends-overdue-fines-on-all-childrens-items/  
7/21/2019 23:36:25,Boyce Ditto Public Library,https://www.mineralwellstx.gov/98/Library,No Fines,Not available in Mineral Wells Index Newspaper
7/22/2019 9:23:46,Rochester Public Library,https://roccitylibrary.org/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.democratandchronicle.com/story/news/2017/04/07/rochester-public-library-foregoes-fines-kids/100125604/
7/22/2019 9:30:46,Milford Public Library (MI),www.milfordlibrary.info,No Fines,No
7/22/2019 9:49:36,Albert Wisner Public Library,www.albertwisnerlibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/22/2019 9:51:36,DeWitt District Library,www.dewittlibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.facebook.com/dewittdistrictlibrary/photos/a.210847650200/10161427753540201/?type=3&theater
7/22/2019 9:55:16,Newbury Public Library,newburynhlibrary.net,No Fines,
7/22/2019 9:59:19,Eagle Mountain Public Library,https://eaglemountaincity.com/library/,No Fines,
7/22/2019 10:15:22,Chesley Memorial Library,chesleylib.com,No Fines,No.
7/22/2019 10:35:43,Addison Public Library,addisonlibrary.org,No Fines,"https://www.railslibraries.info/news/133550, https://www.addisonlibrary.org/overdue-fines"
7/22/2019 10:45:06,Haverstraw King's Daughters Public Library,https://www.hkdpl.org/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","No. Children and teen materials, except games and equipment, are fine free and seniors have fine free library cards."
7/22/2019 11:17:48,Frothingham Free Library,http://fonlib.blogspot.com/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/22/2019 11:19:43,Northville Public Library,http://northvillepubliclibrary.weebly.com/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/22/2019 11:20:47,Amsterdam Free Library,http://www.amsterdamlibrary.com/index.html,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/22/2019 12:30:35,Sutton Free Library,http://suttonfreelibrary.org/,No Fines,"Nope, we've always been fine free"
7/22/2019 12:44:55,Rose Memorial Library,rosememoriallibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/22/2019 12:49:33,Eaton Rapids Area District Library,www.eradl.org,No Fines,
7/22/2019 13:23:33,Salisbury Free Library,https://salisburyfreelibrary.wordpress.com/,No Fines,"No, we've been fine free since before I started here."
7/22/2019 14:09:43,Tipp City Public Library,https://tippcitylibrary.org/,No Fines,https://myemail.constantcontact.com/Director-Announces-New-Overdue---Renewal-Policies.html?soid=1110562080952&aid=hGEpLEk4atc
7/22/2019 14:10:49,Orford Social Library,oslibrary.org,No Fines,no
7/22/2019 15:02:56,Sanger Public Library,www.sangerlibrary.org,No Fines,
7/22/2019 15:44:18,Dr. William C. Herrick Community Health Care Library,www.herricklibrary.org,No Fines,Our newsletter announcement: http://www.herricklibrary.org/wp-content/uploads/2019/01/Newsletter-Jan-March-2019-WEB.pdf
7/22/2019 15:52:52,Morgan County Public Library,http://morgancountylibrary.info,No Fines,https://morgancountylibrary.info/fine-free-frequently-asked-questions/
7/22/2019 16:23:12,Newburgh Free Library,http://www.newburghlibrary.org/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://www.newburghlibrary.org/about-us/borrowing-policies/#FinesFees
7/22/2019 16:24:24,Newburgh Free Library - Town Branch,http://www.newburghlibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://www.newburghlibrary.org/about-us/borrowing-policies/#FinesFees
7/22/2019 16:27:05,TomkinsCove Public Library,tomkinscovelibrary.org,No Fines,
7/22/2019 20:54:19,Castro Valley ,No fines,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/22/2019 22:19:07,Dubois Branch Library,Www.jdcpl.us,No Fines,
7/23/2019 0:00:40,Tamarack District Library,http://tamaracklibrary.org/,In the Process of Removing Fines,Not yet
7/23/2019 9:49:54,Spring Lake District Library,sllib.org,In the Process of Removing Fines,
7/23/2019 9:54:32,Hope College Van Wylen Library,https://hope.edu/library/,No Fines,
7/23/2019 10:26:24,Hamburg Township Library,www.hamburglibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",No.
7/23/2019 11:23:22,Griffin Free Public Library,https://griffinfree.org,No Fines,
7/23/2019 12:00:11,Monroe County Library System,monroe.lib.mi.us,No Fines,https://www.monroenews.com/news/20190109/monroe-county-library-system-eliminates-late-return-fines
7/23/2019 11:53:51,Littleton Public Libary,littletonpubliclibrary.org,No Fines,https://www.caledonianrecord.com/news/local/littleton-library-eliminates-overdue-fines/article_68241829-57a0-5a6e-a1e0-effd3dbd1317.html
7/23/2019 13:38:17,Hackley Public Library,hackleylibrary.org,In the Process of Removing Fines,
7/23/2019 15:31:55,Dunham Public Library,whitesborolibrary.org,No Fines,
7/23/2019 19:09:12,Henika District Library,www.henikalibrary.com,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.facebook.com/HenikaDistrictLibrary/photos/a.185771468130001/2600909333282857/?type=3&theater
7/23/2019 22:03:57,Carleton Branch library,MyMCLS.com,No Fines,
7/24/2019 0:38:01,Loutit District Library,loutitlibrary.org,In the Process of Removing Fines,
7/24/2019 14:16:16,York Public Library,www.york.lib.me.us,No Fines,
7/24/2019 14:39:52,Josiah Carpenter Library,josiahcarpenterlibrary.org,No Fines,No
7/24/2019 15:43:21,Johnson County Library,www.jclwyo.org,No Fines,No
7/24/2019 15:51:13,Chattahoochee Valley Libraries ,www.cvlga.org ,No Fines,https://www.ledger-enquirer.com/news/local/article233031552.html
7/24/2019 18:34:08,Southgate Veterans Memorial Library,southgate.lib.mi.us,No Fines,https://www.southgate.lib.mi.us/Overdue.html
7/25/2019 12:37:02,Lewis Cooper Jr. Memorial Library,www.cooperlibrary.com,No Fines,yes
7/25/2019 12:44:19,Newark Public Library,newarklibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://newarklibrary.org/2019/03/27/national-library-week-brings-exciting-news/
7/25/2019 15:04:56,St. Mary's County Library,www.stmalib.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",N/A
7/25/2019 16:00:53,Spanish Fork Public Library,https://www.spanishfork.org/departments/library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
7/26/2019 12:40:15,Eaton Rapids Area District Library,www.eradl.org,No Fines,
7/26/2019 14:06:12,Ardmore Public Library,www.ardmorelibrary.org,No Fines,No
7/26/2019 23:21:17,Garden City Public Library,https://www.gardencitylib.org/,No Fines,https://www.gardencitylib.org/index.php/free-to-read-garden-city-public-library-goes-fine-free/
7/27/2019 17:35:34,Cascade Public Library,http://cascade.lib.ia.us,No Fines,no link that I have
7/28/2019 4:51:26,Broken Hill City Library,http://bit.ly/bhcclibrary,No Fines,"No, this is a long standing policy"
7/28/2019 12:48:44,Albert Wisner Public Library,https://www.albertwisnerlibrary.org/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.albertwisnerlibrary.org/content/library-fines-and-fees
7/29/2019 11:02:26,Wallkill Public Library,http://www.wallkillpubliclibrary.org/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",No
7/31/2019 10:44:15,AMBS Library,https://ambs.edu/library,No Fines,
7/31/2019 11:30:41,Hickory Public Library,hickorync.gov/content/library,No Fines,https://www.hickorync.gov/content/about-library
8/2/2019 13:37:01,Selbyville Public Library,www.selbyvillelibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.sussexcountian.com/news/20180821/selbyville-public-library-celebrates-national-library-card-sign-up-month
8/5/2019 18:58:25,Spokane Public Library,www.spokanelibrary.org,No Fines,We are waiting until after the county library district has their levy before advertising our fine free status. Starting Wednesday we will advertise.
8/9/2019 9:38:16,The Community Library,https://communitylibrary.mvls.info/,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
8/15/2019 17:15:39,Los Alamos County Library System,https://losalamos.ent.sirsi.net,No Fines,
8/19/2019 16:14:13,Ardmore Public Library,www.ardmorelibrary.org,No Fines,
8/23/2019 12:39:32,Newburyport Public Library,www.newburyportpl.org,No Fines,
8/24/2019 11:20:27,Calvert Libary,CalvertLibrary.Info,No Fines,https://calvertlibrary.info/calvert-library-bolt-votes-in-fine-free-permanently-press-release/
