"","library_name","type_of_elimination","source","ulc_member","reason_for_stopping_fines","lat","long","policy_notes","official_policy_link","state","fine_free_date","fine_free_date_notes","amnesty","amnesty_notes","literature","ffl_timestamp","library_url"
"248","Lansing Public Library","Everyone","https://lansingpl.org/news/why-lansing-public-library-went-fine-free-starting-may-1","FALSE","1) Fines create barriers to information. Director Debbie Albrecht cites an example of people who are looking for a job — “If they have overdue book fines, they are blocked from using the computers to job search. If your money is already limited, late fees just compound your problems.” Albrecht’s philosophy is that the library should be a resource to anyone who needs it.  2) Fines actually prevent people from returning materials. Albrecht knows that once an overdue fine reaches a certain level, she is not likely to ever see that book again: “People don’t return it because they do not want to deal with overdue fines!” By wiping away late fees, she explains, the stigma is removed and the materials are returned and made accessible to other patrons. “Some traditionalists will argue that without fines there is no incentive to return a book on time,” says Albrecht. But she counters, “Yes there is—you appeal to people’s good side.”  3) Fines are not an important source of library revenue. Lansing Public Library has seen decreased revenue from fines over the years, and Albrecht believes it will not be a hardship to replace that revenue. In fact, she already received notification that the library will be receiving $35,414 in per capita grant funds this year, which is about a $14,000 increase from the previous year. That plus an anticipated increase in revenue from printing and copying done by library patrons will more than make up for the revenue from fines. ",41.566202,-87.549574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Las Vegas Clark County Library District","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://lvccld.org/wp-content/uploads/sites/54/2017/10/circulation_policy.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 22:58:26","https://lvccld.org/"
"250","Las Vegas-Clark County Library District","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 17:17:52","lvccld.org"
"251","Leverett Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/27/2019 22:50:59","leverettlibrary.org"
"252","Lewis & Clark Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2019 16:56:57","www.lclibrary.org"
"253","Lewis & Clark Library - Augusta Branch","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 13:41:46","www.lclibrary.org"
"254","Lewis & Clark Library - East Helena Branch","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 13:40:58","www.lclibrary.org"
"255","Lewis & Clark Library - Lincoln Branch","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 13:41:30","www.lclibrary.org"
"256","Lewis Cooper Jr. Memorial Library","No Fines","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/25/2019 12:37:02","www.cooperlibrary.com"
"257","Licking County Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 17:21:10","Licking County Library.org"
"258","Lincoln City Libraries","Children Only","https://www.klkntv.com/story/39882169/lincoln-city-libraries-to-lift-late-fee-on-youth-materials","TRUE","Library Director Pat Leach said that LCL research determined overdue fines have become an ineffective motivator to return books promptly.  She said fines are an unnecessary barrier for children who often lack the autonomy or ability to return library materials on time, and for families who cannot afford to pay them.",40.81292,-96.700716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Littleton Public Libary","No Fines","https://www.caledonianrecord.com/news/local/littleton-library-eliminates-overdue-fines/article_68241829-57a0-5a6e-a1e0-effd3dbd1317.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/23/2019 11:53:51","littletonpubliclibrary.org"
"260","London Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","http://www.londonpubliclibrary.ca/story/2017/09/01/fine-free-cards-children-reduced-fines-teens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/28/2019 13:13:03","http://www.lpl.ca/"
"261","Lora Robins Library at Lewis Ginter Botanical Garden","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/23/2019 8:55:04","https://www.lewisginter.org/learn/library/"
"262","Los Alamos County Library System","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/15/2019 17:15:39","https://losalamos.ent.sirsi.net"
"263","Los Gatos Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/14/2019 21:37:03","https://www.losgatosca.gov/42/Los-Gatos-Library"
"264","Loudoun County Public Library","Everyone","library.loudoun.gov/NoMoreFines","TRUE","The library’s resources have the power to change lives, and we want them to be available to everyone all the time.",NA,NA,"Overdue fines are gone. If you had fines on your card, they’ve been waived. The trustees did this to ensure all customers have continuous access to library services as long as the materials they borrow are returned. Previously, library cards were blocked once a customer accumulated $10 or more in overdue fines.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Loutit District Library","In the Process of Removing Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/24/2019 0:38:01","loutitlibrary.org"
"266","Loveland Public Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 18:02:54","lovelandpubliclibrary.org"
"267","Lucius Beebe Memorial Library ","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 20:06:42","www.wakefieldlibrary.org"
"268","Lucius Beebe Memorial Library - Wakefield","No Fines","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/26/2019 9:02:18","www.wakefieldlibrary.org"
"269","Lynchburg Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://www.newsadvance.com/news/local/lynchburg-public-library-eliminates-fines-for-youth-materials/article_843ca3c9-7fa4-5f4b-ad11-eff9a527b8c4.html?utm_medium=social&utm_source=email&utm_campaign=user-share",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 14:12:38","lynchburgpubliclibrary.org"
"270","Lynnfield Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/30/2019 13:09:59","https://www.lynnfieldlibrary.org/"
"271","Lyon Township Public Library","Everyone","https://www.lyon.lib.mi.us/wp-content/uploads/2019/05/Fine-Free-WEBSITE-2019-1-1.pdf","FALSE","""... when we took a really hard look at the impact of overdue fees, we found that they presented a serious barrier to library use. """,NA,NA,"Items that are more than 21 days past due will be considered lost and charged to the patron.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","M.N. Spear Memorial Library","No Fines","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/4/2019 15:53:46","https://sites.google.com/site/mnspearmemoriallibrary/"
"273","Mabel D. Blodgett Memorial Reading Center","No Fines","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/1/2019 16:05:34","www.villageofrushville.com"
"274","Macedon Public Library","Everyone","https://macedonpubliclibrary.org/2015/07/28/thank-you/","FALSE","The  decision to go fine-free was made as a result of our mission statement.  Our mission is to connect people and ideas with outstanding customer service and access to diverse materials. Charging fines for overdue materials creates an unnecessary obstacle to the  access of information.  Also, charging fines to patrons impedes the First Amendment because it places a barrier to the flow of information created by the freedom of the press. It creates a situation whereby those with means can afford to have continued access  to ideas in print, but those without the means to afford fines and penalties become restricted.  In a democracy, the free flow of information and ideas in print for all members of the community is paramount. Giving patrons the chance to return items in a timely  manner is far friendlier to both our democratic ideals and patrons.",43.067188,-77.307353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Madison Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://www.madisonpubliclibrary.org/policies/check-out-policies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/26/2019 17:06:34","https://www.madisonpubliclibrary.org/"
"276","Manchester City Library","Children and Teens Only","http://www.unionleader.com/education/manchester-libraries-eliminate-overdue-fines-for-children-teen-books-20181002","FALSE","City library officials said they made the change after speaking to parents who said they weren’t library users because they were unable to pay fines. City leaders also said the elimination of the 25-cents-a-day fine should help encourage literacy and learning.",42.992283,-71.458824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Manchester City Library","Children and Teens Only","http://www.unionleader.com/education/manchester-libraries-eliminate-overdue-fines-for-children-teen-books-20181002","FALSE","City library officials said they made the change after speaking to parents who said they weren’t library users because they were unable to pay fines. City leaders also said the elimination of the 25-cents-a-day fine should help encourage literacy and learning.",42.992283,-71.458824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Manlius library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://www.eaglenewsonline.com/news/publications/eagle-bulletin/2018/12/28/manlius-library-drops-daily-late-fines-for-kids-teens/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/23/2019 1:17:07","Manliuslibrary.org"
"279","Manlius Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","http://manliuslibrary.org/wp-content/uploads/2019/06/newsletter-2019-06.pdf  https://www.eaglenewsonline.com/news/publications/eagle-bulletin/2018/12/28/manlius-library-drops-daily-late-fines-for-kids-teens/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/19/2019 13:57:59","www.manliuslibrary.org"
"280","Mansfield Public Library","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://thechronicle.com/stories/20190105LIBRARY.php",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/25/2019 13:38:02","mansfieldpubliclibraryct.org"
"281","Maricopa County Library District","Everyone","https://www.fhtimes.com/news/local_news/county-eliminates-overdue-library-fines/article_f53d3b66-818c-11e9-a200-0feba331bc87.html","FALSE","“Libraries are an important resource for children and adults to learn about and connect with their community and world,” said Bill Gates, Chairman of the Maricopa County Board of Supervisors, District 3. “This is why we have decided to discontinue collecting daily overdue fines and to waive any existing fines that can build up and lead to blocked accounts for people who can least afford them, giving everyone a fresh start.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Maricopa County Library System","No Fines","mcldaz.org/nofines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/4/2019 12:59:49","mcldaz.org"
