library_name,type_of_elimination,source,ulc_member,reason_for_stopping_fines,lat,long,policy_notes,official_policy_link,state,fine_free_date,fine_free_date_notes,amnesty,amnesty_notes,literature,ffl_timestamp,library_url
Contra Costa County Library,Everyone,http://ccclib.org/pressroom/pressreleases/2018/Fine%20Elimination.pdf,TRUE,"By eliminating fines, the library is removing barriers and making access easy, equitable and enjoyable for everyone. “Our libraries are open for the entire community to take advantage of all they have to offer,” said Contra Costa County Supervisor Karen Mitchoff. “Saying goodbye to fines gives everyone an opportunity to restart their relationship with the library.” ",37.99816,-122.116285,NA,http://ccclib.org/policies/libcard.html#fines,CA,2019-01-01,NA,NA,NA,NA,NA,http://ccclib.org/
Converse County Library,No Fines,https://library.wyo.gov/more-reasons-to-love-the-converse-county-library/,FALSE,"Converse County Library subscribes to a fine-free philosophy. The library does not charge overdue fines, but it is the borrower's responsibility to be aware of materials' due dates. ",42.761197,-105.383842,"Converse County Library subscribes to a fine-free philosophy. The library does not charge overdue fines, but it is the borrower's responsibility to be aware of materials' due dates.",http://www.yourccl.org/212/Circulation-Policies,WY,2019-02-11,NA,NA,NA,NA,5/22/19 18:30,Www.yourccl.org
Coos Bay Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://kcby.com/news/local/public-libraries-in-coos-curry-counties-eliminate-fines-on-childrens-books,NA,NA,NA,NA,NA,https://www.coosbaylibrary.org/sites/default/files/fines_and_fees.pdf,OR,2018-12-04,NA,NA,NA,NA,1/25/19 13:46,coosbaylibrary.org
Corvallis-Benton County Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://cbcpubliclibrary.net/circpolicy/,NA,NA,NA,NA,NA,NA,OR,2017-01-17,NA,NA,Food for Fines https://cbcpubliclibrary.net/food4fines/,NA,5/23/19 8:53,www.cbcpl.net
Cotuit Library,No Fines,"No, because it's an internal choice",NA,NA,NA,NA,NA,NA,MA,NA,NA,NA,NA,NA,1/26/19 14:44,cotuitlibrary.org
Cozby Library and Community Commons,No Fines,No,NA,NA,NA,NA,NA,http://www.coppelltx.gov/residents/public-library/my-account,TX,NA,NA,NA,NA,NA,1/25/19 22:51,http://www.coppelltx.gov/residents/public-library
Cranston Public Library,all children's and teen materials,https://www.cranstonlibrary.org/cranston-public-library-goes-fine-free-children-and-teen-materials,FALSE,"In an effort to remove barriers for young people to use the library; the Cranston Public Library will be going ""fine free"" on all children's and teen materials starting June 16th. Fine Free was unanimously approved by the Library Board of Trustees in January.",NA,NA,NA,https://www.cranstonlibrary.org/borrowing-information,RI,2019-06-16,NA,NA,NA,NA,NA,https://www.cranstonlibrary.org/
Crete Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://www.crete.ne.gov/vimages/shared/vnews/stories/592ee46f5d6f2/Overdue%20Materials%20Policies%20Starting%202019.pdf,NA,NA,NA,NA,NA,http://www.crete.ne.gov/vimages/shared/vnews/stories/592ee46f5d6f2/Overdue%20Materials%20Policies%20Starting%202019.pdf,NE,2019-01-01,NA,NA,NA,NA,5/23/19 13:29,www.crete.ne.gov/library
Cromaine Hartland Library,Everyone,https://www.cromaine.org/info-resources?kw=what+are+the+fines+for+overdue+items,FALSE,NA,NA,NA,NA,https://www.cromaine.org/info-resources?kw=what+are+the+fines+for+overdue+items,MI,NA,NA,NA,NA,NA,NA,https://www.cromaine.org/
Cuba Circulating Library,No Fines,"Our newspaper did run an article, but they don't have an online version available.",NA,NA,NA,NA,NA,http://cubalibrary.org/wp-content/uploads/2019/04/Circulation-Policy.pdf,NY,NA,NA,NA,NA,NA,7/20/19 12:13,cubalibrary.org
Culpeper County Library,Everyone,https://www.fauquier.com/calendar/fine-free-at-culpeper-county-library/event_89a3df60-9cd8-11e9-bf54-af0df851c0f9.html,FALSE,Decreasing access barriers,NA,NA,"Culpeper County Library is overdue fine free except for high value items like Verizon Jetpack WiFi units or Inter-Library Loan, which are $1/day. ",http://tlc.library.net/culpeper/contentpages.asp?loc=90,VA,2019-07-02,NA,NA,NA,NA,NA,http://tlc.library.net/culpeper/default.asp
Curry Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.kezi.com/content/news/Oregon-coast-libraries-have-new-guidelines-for-overdue-childrens-material-506097351.html https://kcby.com/news/local/public-libraries-in-coos-curry-counties-eliminate-fines-on-childrens-books,NA,NA,NA,NA,NA,https://www.currypubliclibrary.org/services-using-the-library/,OR,2018-12-04,NA,NA,NA,NA,3/6/19 17:48,www.currypubliclibrary.org
Dallas Public Library,Everybody,https://www.nbcdfw.com/news/local/Dallas-City-Council-Axes-Librarys-Overdue-Fines-Plans-to-Zero-Out-Past-Fines-510324101.html,TRUE,"""The library's mission is to provide access for all,"" Dallas Public Library Director Jo Giudice said in a statement. ""Late fines create barriers by punishing people who are unable to pay them. Eliminating fines is an issue of equity.""",NA,NA,NA,http://dallaslibrary2.org/docs/finefree.pdf,TX,2019-05-22,NA,NA,NA,NA,NA,http://dallaslibrary2.org/
Daniel Boone Regional Library System,No Fines,https://www.komu.com/news/hfr-daniel-boone-regional-library-does-not-believe-in-late-fees,NA,NA,NA,NA,NA,https://www.dbrl.org/using-the-library,MO,NA,NA,NA,NA,NA,5/22/19 20:01,www.dbrl.org
Darlington County Library System,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",http://www.newsandpress.net/darlington-county-library-ends-overdue-fines-on-all-childrens-items/  ,NA,The Library wants to encourage children to read because their success in the future depends on their ability to read. Not allowing a child to check out a book because of an unpaid overdue fine can have a lasting impact on a child�s life. ,NA,NA,NA,NA,SC,2017-06-01,NA,NA,NA,NA,7/21/19 15:00,www.darlington-lib.org
Davenport Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.rcreader.com/news-releases/juvenile-materials-go-fine-free-library,NA,NA,NA,NA,NA,https://www.davenportlibrary.com/about-us/overdue-fines-bills,IA,2019-04-08,NA,NA,NA,NA,5/22/19 20:23,https://www.davenportlibrary.com/
